,logFC,AveExpr,t,P.Value,adj.P.Val,B,-log(adj.P.Val),is_deg,is_significant,score1,is_membrane,is_surface,score2
ZNF699,4.031324359611846,1.4764033628040425,18.895477822912405,2.715230003044288e-43,5.231927059629424e-41,87.88166901009998,92.75120913990048,True,True,2,False,False,2
IL12A,5.02837581237634,-0.09842466993387079,18.58623950631985,1.7624950138333186e-42,3.2560732626693884e-40,85.91793510672522,90.92288177105483,True,True,2,False,False,2
NLRP10,10.074791782747923,-4.7032292231858825,18.510235332389,2.7958794784455456e-42,5.060824268054968e-40,85.56041518977335,90.48187435090394,True,True,2,False,False,2
GPR21,6.840348296005534,-5.388198509534216,18.463141966333804,3.7224485318946274e-42,6.670627769155172e-40,82.46335906490634,90.20568974594903,True,True,2,False,False,2
MMP1,9.09731117266372,-2.6162464316414114,18.420852995614062,4.814501645844709e-42,8.458418577797763e-40,85.07687260914801,89.96824149295549,True,True,2,False,False,2
MRGPRX3,8.961670699732212,-4.9556922621272586,18.37389567568844,6.407837796036559e-42,1.1041197433170687e-39,84.25193898766891,89.70177022164506,True,True,2,False,False,2
SERPINA9,9.540642696804747,-4.721072581399663,18.34935715354157,7.441106765496211e-42,1.2699488879780201e-39,84.48553406812793,89.56184197279376,True,True,2,False,False,2
MGARP,5.8636786352059005,0.5840585809567452,18.3256328800359,8.598793547504404e-42,1.4536828336913104e-39,84.49495421062755,89.4267184050884,True,True,2,True,False,2
SCN9A,6.314949080809583,2.7528211134457363,18.213485963329454,1.704807018228944e-41,2.8027652996938237e-39,83.82989893815183,88.77021208991609,True,True,2,False,False,2
LRRC15,7.263100870028548,-0.8619196192206018,18.190863791138735,1.9575313632396863e-41,3.188996548114107e-39,83.67561887776122,88.64111232117565,True,True,2,True,True,3
BLID,8.30744697358207,-4.830817156776383,18.040472808891952,4.914099711340519e-41,7.792979365240893e-39,81.88782071373004,87.74759537976809,True,True,2,False,False,2
SERPINB7,10.085377007051108,-2.986113634379909,17.97669019419984,7.266215934857478e-41,1.1421981539705791e-38,82.38986517611129,87.36527892273148,True,True,2,False,False,2
MYBL1,4.411305982351591,2.6260546206422823,17.922606834166928,1.0127345264947588e-40,1.5511284371612033e-38,82.06199493204934,87.05925084374852,True,True,2,False,False,2
TMEM217,4.774560827897535,-0.38204006509675914,17.82155883913272,1.884810234669147e-40,2.862355881802637e-38,81.15481534411856,86.44658851312934,True,True,2,False,False,2
H2AC21,7.801774908947406,-3.9416651369381275,17.76816671760691,2.6182281134576445e-40,3.9098873160967493e-38,80.54458204905923,86.13472497960434,True,True,2,False,False,2
ANKRD1,8.137002513428548,0.6644278238719807,17.407041621618955,2.4376217588284975e-39,3.551396903919242e-37,78.89880655274538,83.9283074206291,True,True,2,False,False,2
PMAIP1,5.153468243193944,1.6788800314145422,17.36619451111492,3.140121177064149e-39,4.537981572015287e-37,78.65023672819092,83.68316611524666,True,True,2,False,False,2
DNAH5,5.444095594401282,1.1960742766348669,17.333249229638266,3.85217945050997e-39,5.522484460251093e-37,78.44542385294763,83.48682059836901,True,True,2,False,False,2
C22orf23,4.084128301009182,0.6610856087407555,17.238278662620402,6.9478276742777e-39,9.881354914528284e-37,77.7317878733532,82.90499880132434,True,True,2,False,False,2
SETSIP,6.74963412767803,-3.0416720086959637,17.226456315558103,7.477618491394456e-39,1.0387513439208421e-36,77.19060917801936,82.85504398681235,True,True,2,False,False,2
ZNF578,4.000191129692018,0.2970994454098411,17.19445076988255,9.124170370572e-39,1.2577317926203863e-36,77.3246054464127,82.66375341365269,True,True,2,False,False,2
H4C5,4.49942001917647,0.25350787887268866,17.11308172323954,1.5140308881501864e-38,2.0711017950878886e-36,76.95884934135698,82.16498261395442,True,True,2,False,False,2
RGMB,4.960666053782909,4.415247867093362,17.105544241173753,1.586804994109742e-38,2.1542079920035286e-36,77.04371093849916,82.12564021289442,True,True,2,False,False,2
PWP2,4.239970429536135,0.6646324911965107,17.057126616021765,2.1456203063867167e-38,2.890941044394734e-36,76.65274537613021,81.83148127776646,True,True,2,False,False,2
RELL1,3.8695342272213646,2.4165177703663123,17.026072966344408,2.604028695780476e-38,3.482402554357174e-36,76.55058539918366,81.64534090302514,True,True,2,True,True,3
BDKRB1,5.939710404885032,0.17305000265063727,16.9716745617735,3.656437247169095e-38,4.853581886612606e-36,76.20575821650955,81.3133463820956,True,True,2,False,False,2
H2BC3,7.936121442544202,-5.194403421665084,16.84552007559518,8.042963759179924e-38,1.04441964177177e-35,74.16805950873041,80.54701689037363,True,True,2,False,False,2
TAF1L,7.711029506345259,-3.8220290572873585,16.815472218835822,9.706470605960767e-38,1.2513665702073161e-35,74.81212920872304,80.36624204448086,True,True,2,False,False,2
INHBA,6.059672536309574,2.695532589822758,16.559455554056903,4.833440015996505e-37,6.057010145920096e-35,73.6511149993634,78.7892619517207,True,True,2,False,False,2
H2AC20,4.901861312020616,-0.6149688124009086,16.534401800804837,5.6575832601195926e-37,7.040548057037715e-35,73.25895229274205,78.63879223864069,True,True,2,False,False,2
NAALADL2,4.327315599593486,2.5855986160560906,16.432921672355498,1.0711383992334778e-36,1.305768715256049e-34,72.8608257852691,78.02110124061096,True,True,2,True,True,3
CDKN2A,4.45350744809919,1.0996884822006279,16.38285995997804,1.4680948928282122e-36,1.7656550657370177e-34,72.5364194854843,77.71937139820784,True,True,2,False,False,2
PRR11,4.408207521992412,1.0197354366000306,16.277696281775647,2.84893659025434e-36,3.3587462958788007e-34,71.87519736322024,77.0763253836779,True,True,2,False,False,2
VEPH1,6.058702398290675,0.6440338358529516,16.224594061522733,3.983259251696127e-36,4.6653598555813455e-34,71.55768676633068,76.74772819101325,True,True,2,False,False,2
ADAMTS6,4.140678435944854,1.961013365201702,15.972327172048505,1.9642952702055116e-35,2.213847247929734e-33,69.97430238279198,75.19057623060557,True,True,2,False,False,2
USP44,4.0925071515227085,1.6004436140061804,15.922844011497567,2.6879321370945343e-35,2.991785335200873e-33,69.66059070061993,74.88943775752155,True,True,2,False,False,2
ALPK2,8.007683744502888,-0.3161951104608568,15.886403577760523,3.3867675703958545e-35,3.678234840090528e-33,69.4337119919919,74.68287509471665,True,True,2,False,False,2
ACTBL2,8.187939826346364,-5.042904650151039,15.767504724179517,7.204498780550803e-35,7.594389302792376e-33,67.93794276767531,73.95789834378425,True,True,2,False,False,2
ALKAL1,8.405148339114936,-3.7593681035400137,15.757899623474367,7.657879099371652e-35,8.007627986365671e-33,68.53712238254144,73.9049134831187,True,True,2,False,False,2
H1-5,8.655306942101735,-4.618015260261639,15.757324971398704,7.685892933342051e-35,8.007627986365671e-33,68.3529260255853,73.9049134831187,True,True,2,False,False,2
HSF2BP,4.617964673772412,-0.6139816643676432,15.66807640056806,1.355593897302783e-34,1.3881281508380498e-32,67.7972973611864,73.35476679029367,True,True,2,False,False,2
STPG4,6.094649390269077,-2.883611412833151,15.516088824362761,3.5681388358388933e-34,3.5522804410129427e-32,66.46093755119269,72.41513320080828,True,True,2,False,False,2
CENPE,4.4245852481411,1.3316612104096077,15.394661589775842,7.741135445424796e-34,7.498440388216884e-32,66.32965755766119,71.66802792512918,True,True,2,False,False,2
FOXL1,5.209927681609695,1.1984146136304086,15.386956568493234,8.131387780099064e-34,7.834111237600818e-32,66.27929675730715,71.62423554133031,True,True,2,False,False,2
ZPLD1,7.659472229403267,-3.461850723168587,15.374658845997597,8.795503006106142e-34,8.383798610075641e-32,66.02826557247873,71.55642186926407,True,True,2,True,True,3
DIAPH3,5.279324606075422,0.6514116511112078,15.362041069019691,9.533430168590795e-34,9.03910415984905e-32,66.1232473936041,71.48116290367767,True,True,2,False,False,2
CDKL4,5.614959761362218,-2.3751566030137496,15.327139300076244,1.1913986683501381e-33,1.1236770598333934e-31,65.30604788962631,71.26353148594178,True,True,2,False,False,2
TGFB2,4.968455070748581,3.060867536688752,15.279536563889398,1.614943277215622e-33,1.4994706491038315e-31,65.58870227189077,70.97502573758877,True,True,2,False,False,2
H1-6,7.589670559227308,-5.03390032126761,15.2459033024578,2.0023266160760005e-33,1.8495718020660788e-31,64.3871798622445,70.76518372885846,True,True,2,False,False,2
RFPL4A,8.13006044974841,-5.073640602328424,15.207290584585861,2.5631924762949442e-33,2.343490264041092e-31,64.43787643918935,70.52849649889569,True,True,2,False,False,2
PRPS1L1,9.212909964351512,-5.126731976593488,15.174559104899739,3.160304124975344e-33,2.8747538030232573e-31,64.73724947081922,70.32417084596392,True,True,2,False,False,2
MRGPRX4,6.005782489849813,-5.40697090656313,14.976639763067748,1.1229498635847507e-32,9.91293672681711e-31,61.67898912026902,69.0862972386341,True,True,2,False,False,2
FBN2,5.661527462358108,1.5559507435485331,14.970002465902688,1.1717800475717741e-32,1.029328355514029e-30,63.62734216700622,69.048646282303,True,True,2,False,True,3
TNFSF18,6.685488149088442,-2.6217064764680744,14.921840037224376,1.5959626133064368e-32,1.3883325257500654e-30,63.1509315781446,68.74944938456348,True,True,2,True,True,3
IKBIP,4.591383487237237,3.5485279104686867,14.813691147894101,3.1956241750936944e-32,2.714008778089052e-30,62.619353877905226,68.07912599404065,True,True,2,True,False,2
GATD3,5.0641991209894,0.3906741757844151,14.810848245495878,3.254516305422827e-32,2.7509873676026913e-30,62.62236219563811,68.06559289981871,True,True,2,False,False,2
DNAI3,5.607801513635237,-0.5540809874386093,14.744555536347663,4.982913010745625e-32,4.172607530493533e-30,62.18774027437887,67.64901164236088,True,True,2,False,False,2
ADAMTS12,5.961039902248957,2.2652268772016764,14.73339845376075,5.353403034152477e-32,4.4619991800936e-30,62.11531915064678,67.58195587756416,True,True,2,False,False,2
CTHRC1,5.146590174444638,2.320506233031046,14.685285049526694,7.294294191278071e-32,6.051562588319585e-30,61.8074012048166,67.27723627206582,True,True,2,False,False,2
